Code_region;Region;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimes;Hollande;Sarkozy;Le Pen;Melenchon;Bayrou;Joly;Dupont-Aignan;Poutou;Arthaud;Cheminade;% Hollande;% Sarkozy;% Le Pen;% Melenchon;% Bayrou;% Joly;% Dupont-Aignan;% Poutou;% Arthaud;% Cheminade;% Participation;% Abstention
11;Île-de-France;7168826;1454543;5714283;83236;55490;5575557;1820126;1365148;573862;1054085;464978;118282;73741;41660;22044;1631;32.64;24.48;10.29;18.91;8.34;2.12;1.32;0.75;0.4;0.03;79.71;20.29
24;Centre-Val de Loire;1836561;375453;1461108;24389;16260;1420459;421248;367764;289714;176175;101028;28706;16519;8981;8561;1763;29.66;25.89;20.4;12.4;7.11;2.02;1.16;0.63;0.6;0.12;79.56;20.44
27;Bourgogne-Franche-Comté;2006633;416965;1589668;26616;17744;1545308;457944;409815;345442;192324;80462;31879;14923;8264;3657;598;29.63;26.52;22.35;12.45;5.21;2.06;0.97;0.53;0.24;0.04;79.22;20.78
28;Normandie;2254172;463571;1790601;30323;20216;1740062;519290;461464;379255;220517;93702;34786;15088;10295;4617;1048;29.84;26.52;21.8;12.67;5.38;2.0;0.87;0.59;0.27;0.06;79.43;20.57
32;Hauts-de-France;4192468;955546;3236922;53908;35939;3147075;927314;772304;868678;428856;95199;31249;16907;12147;9992;3429;29.47;24.54;27.6;13.63;3.02;0.99;0.54;0.39;0.32;0.11;77.21;22.79
44;Grand Est;3804310;795606;3008704;49892;33262;2925550;828303;809039;672772;373439;143733;49922;23357;16326;7386;3253;28.31;27.65;23.0;12.76;4.91;1.71;0.8;0.56;0.25;0.11;79.09;20.91
52;Pays de la Loire;2698716;448558;2250158;38075;25384;2186699;696396;566682;318534;346665;181768;31621;20892;14786;10355;0;31.85;25.91;14.57;15.85;8.31;1.45;0.96;0.68;0.47;0.0;83.38;16.62
53;Bretagne;2389696;394990;1994706;32813;21875;1940018;619861;503843;298793;321831;139022;24660;15988;11049;5971;0;31.95;25.97;15.4;16.59;7.17;1.27;0.82;0.57;0.31;0.0;83.47;16.53
75;Nouvelle-Aquitaine;4216542;841524;3375018;56237;37491;3281290;1032726;807866;612559;500598;235207;49062;34072;18947;4193;1060;31.47;24.62;18.67;15.26;7.17;1.5;1.04;0.58;0.13;0.03;80.04;19.96
76;Occitanie;3996008;816187;3179821;53817;35878;3090126;919056;708469;666975;556809;146920;48816;23881;14946;4426;828;29.74;22.93;21.58;18.02;4.75;1.58;0.77;0.48;0.14;0.03;79.57;20.43
84;Auvergne-Rhône-Alpes;4997924;1020152;3977772;66181;44120;3867471;1159362;960410;722470;665206;285131;36617;29088;18036;4794;357;29.98;24.83;18.68;17.2;7.37;0.95;0.75;0.47;0.12;0.01;79.59;20.41
93;Provence-Alpes-Côte d'Azur;3488960;740012;2748948;44357;29572;2675019;699131;680561;664038;439918;130576;25419;19261;7873;8242;0;26.14;25.44;24.82;16.45;4.88;0.95;0.72;0.29;0.31;0.0;78.79;21.21
94;Corse;225978;72640;153338;2999;2000;148339;38004;34993;38025;17948;10266;5282;3821;0;0;0;25.62;23.59;25.63;12.1;6.92;3.56;2.58;0.0;0.0;0.0;67.86;32.14
OM;Outre-mer;1882622;1046948;835674;25613;17075;792986;240621;162698;133095;148741;48637;20695;9901;11009;17589;0;30.34;20.52;16.78;18.76;6.13;2.61;1.25;1.39;2.22;0.0;44.39;55.61
