Code_region;Region;Inscrits;Votants;Abstentions;Exprimes;RN;Renaissance;PS_Glucksmann;LFI;LR;EELV;Reconquete;PCF;% RN;% Renaissance;% PS_Glucksmann;% LFI;% LR;% EELV;% Reconquete;% PCF;% Participation
01;Guadeloupe;318903;42255;276648;38805;11660;5376;5527;5813;1173;1925;1294;524;30.05;13.85;14.24;14.98;3.02;4.96;3.33;1.35;13.25
02;Martinique;304698;37533;267165;34187;6149;5883;5477;6368;1503;1992;1550;590;17.99;17.21;16.02;18.63;4.4;5.83;4.53;1.73;12.32
03;Guyane;109017;10196;98821;9621;2465;1010;1048;1774;402;837;507;146;25.62;10.5;10.89;18.44;4.18;8.7;5.27;1.52;9.35
04;La Réunion;697195;183830;513365;171314;54317;15323;17425;34797;8637;8487;9727;3799;31.71;8.94;10.17;20.31;5.04;4.95;5.68;2.22;26.37
06;Mayotte;98087;19575;78512;18171;9525;1169;460;1845;2416;395;898;179;52.42;6.43;2.53;10.15;13.3;2.17;4.94;0.99;19.96
11;Île-de-France;7511355;3983305;3528050;3913889;735376;606343;617492;726713;346133;272988;222736;77009;18.79;15.49;15.78;18.57;8.84;6.97;5.69;1.97;53.03
24;Centre-Val de Loire;1847939;978080;869859;945028;330184;142723;118598;70142;70718;41919;51336;24107;34.94;15.1;12.55;7.42;7.48;4.44;5.43;2.55;52.93
27;Bourgogne-Franche-Comté;1997439;1115567;881872;1078582;400043;148516;131629;75576;80886;47833;57147;24285;37.09;13.77;12.2;7.01;7.5;4.43;5.3;2.25;55.85
28;Normandie;2420256;1294693;1125563;1255689;443721;196993;167106;86738;86679;55687;58302;35445;35.34;15.69;13.31;6.91;6.9;4.43;4.64;2.82;53.49
32;Hauts-de-France;4281428;2181828;2099600;2117501;897961;273286;191318;178727;128978;75690;97385;65098;42.41;12.91;9.04;8.44;6.09;3.57;4.6;3.07;50.96
44;Grand Est;3895241;2022271;1872970;1963289;752624;283234;211653;148897;148689;80997;108760;31610;38.33;14.43;10.78;7.58;7.57;4.13;5.54;1.61;51.92
52;Pays de la Loire;2871755;1527698;1344057;1475630;407778;264523;238029;104035;116716;104849;69532;31598;27.63;17.93;16.13;7.05;7.91;7.11;4.71;2.14;53.2
53;Bretagne;2591501;1479248;1112253;1435151;367102;249867;264599;101604;108068;104517;60722;36692;25.58;17.41;18.44;7.08;7.53;7.28;4.23;2.56;57.08
75;Nouvelle-Aquitaine;4525397;2517128;2008269;2427527;751054;358511;387328;165017;157461;128806;121621;70598;30.94;14.77;15.96;6.8;6.49;5.31;5.01;2.91;55.62
76;Occitanie;4403457;2490048;1913409;2417131;814265;293917;374941;216535;132569;124245;133848;64477;33.69;12.16;15.51;8.96;5.48;5.14;5.54;2.67;56.55
84;Auvergne-Rhône-Alpes;5636942;3163228;2473714;3080057;952167;437205;426383;292518;245483;191073;172274;71339;30.91;14.19;13.84;9.5;7.97;6.2;5.59;2.32;56.12
93;Provence-Alpes-Côte d'Azur;3721877;1988706;1733171;1944525;751466;238313;204048;188289;123861;82316;150248;41387;38.65;12.26;10.49;9.68;6.37;4.23;7.73;2.13;53.43
94;Corse;248762;107583;141179;105352;42938;13990;9508;4264;7474;2626;8819;2564;40.76;13.28;9.02;4.05;7.09;2.49;8.37;2.43;43.25
